Rating,Promotion,Show,Date,Year,Match Listing,Match Type,Notes,Card,S/M,Amount,Participants
4.5,AJPW,Real World Tag League 1981 - Day 16,13/12/1981,1981,Bruiser Brody & Jimmy Snuka vs. The Funks (Dory Funk Jr. & Terry Funk),Real World Tag League 1981 Match,,Link,M,4,"bruiserbrody1, jimmysnuka1, doryfunkjr1, terryfunk1, , , , , ,"
2,AJPW,Real World Tag League 1981 - Day 16,13/12/1981,1981,Giant Baba & Jumbo Tsuruta vs. Tiger Jeet Singh & Umanosuke Ueda,Real World Tag League 1981 Match,,Link,M,4,"giantbaba1, jumbotsuruta1, tigerjeetsingh1, umanosukeueda1, , , , , ,"
3,AJPW,Real World Tag League 1981 - Day 7,03/12/1981,1981,Terry Funk vs. Ashura Hara,Singles Match,,Link,S,2,"terryfunk1, ashurahara1, , , , , , , ,"
3,AJPW,Real World Tag League 1981 - Day 4,30/11/1981,1981,Giant Baba & Jumbo Tsuruta vs. Ashura Hara & Genichiro Tenryu,Real World Tag League 1981 Match,,Link,M,4,"giantbaba1, jumbotsuruta1, ashurahara1, genichirotenryu1, , , , , ,"
3,AJPW,Real World Tag League 1981 - Day 4,30/11/1981,1981,Terry Funk vs. Bruiser Brody,Singles Match,,Link,S,2,"terryfunk1, bruiserbrody1, , , , , , , ,"
2,AJPW,Real World Tag League 1981 - Day 1,27/11/1981,1981,Tiger Jeet Singh & Umanosuke Ueda vs. The Funks (Dory Funk Jr. & Terry Funk),Real World Tag League 1981 Match,,Link,M,4,"tigerjeetsingh1, umanosukeueda1, doryfunkjr1, terryfunk1, , , , , ,"
3,AJPW,Giant Series 1981 - Day 28,04/11/1981,1981,Bruiser Brody & Jimmy Snuka vs. The Funks (Dory Funk Jr. & Terry Funk),Tag Team Match,,Link,M,4,"bruiserbrody1, jimmysnuka1, doryfunkjr1, terryfunk1, , , , , ,"
1,AJPW,Giant Series 1981 - Day 19,24/10/1981,1981,Alexis Smirnoff & Bruiser Brody vs. The Funks (Dory Funk Jr. & Terry Funk),Tag Team Match,,Link,M,4,"alexissmirnoff1, bruiserbrody1, doryfunkjr1, terryfunk1, , , , , ,"
3,AJPW,Giant Series 1981 - Day 7,09/10/1981,1981,Ric Flair (c) vs. Jumbo Tsuruta,NWA World Heavyweight Title Best Two Out Of Three Falls Match,Special Referee: James Blears,Link,S,2,"ricflair1, jumbotsuruta1, , , , , , , ,"
2,AJPW,Giant Series 1981 - Day 7,09/10/1981,1981,"Ashura Hara, Genichiro Tenryu & Terry Funk vs. Alexis Smirnoff, Don DeNucci & Harley Race",Tag Team Match,,Link,M,6,"ashurahara1, genichirotenryu1, terryfunk1, alexissmirnoff1, dominicdenucci1, harleyrace1, , , ,"
