Performance,Grade,Weight,Wrestler,Date,Promotion,Participants,Match
GOOD,3,1,guymercier1,01/01/1970,FFCP,Jacky Corn & Guy Mercier vs. Ted Lamarre & Jo Marsalo,Best Two Out Of Three Falls Tag Team Match
GOOD,3,1,jackycorn1,01/01/1970,FFCP,Jacky Corn & Guy Mercier vs. Ted Lamarre & Jo Marsalo,Best Two Out Of Three Falls Tag Team Match
NEUTRAL,2,0,jomarsalo1,01/01/1970,FFCP,Jacky Corn & Guy Mercier vs. Ted Lamarre & Jo Marsalo,Best Two Out Of Three Falls Tag Team Match
GOOD,3,1,tedlamarre1,01/01/1970,FFCP,Jacky Corn & Guy Mercier vs. Ted Lamarre & Jo Marsalo,Best Two Out Of Three Falls Tag Team Match
NEUTRAL,2,0,charlyverhulst1,24/01/1970,FFCP,Guy Mercier vs. Allan Le Foudre,Singles Match
NEUTRAL,2,0,guymercier1,24/01/1970,FFCP,Guy Mercier vs. Allan Le Foudre,Singles Match
NEUTRAL,2,0,gabrielcalderon1,21/02/1970,FFCP,Rene Lasartesse vs. Gaby Calderon,Singles Match
GOOD,3,1,renelasartesse1,21/02/1970,FFCP,Rene Lasartesse vs. Gaby Calderon,Singles Match
GOOD,3,1,antonioinoki1,03/03/1970,JWA,"Antonio Inoki, Kintaro Oki & Mitsu Hirai vs. Jim Osborne, Phil Robley & Prince Iaukea",Best Two Out Of Three Falls Six Man Tag Team Match
GOOD,3,1,buckrobley1,03/03/1970,JWA,"Antonio Inoki, Kintaro Oki & Mitsu Hirai vs. Jim Osborne, Phil Robley & Prince Iaukea",Best Two Out Of Three Falls Six Man Tag Team Match
BAD,1,-2,curtisiaukea1,03/03/1970,JWA,"Antonio Inoki, Kintaro Oki & Mitsu Hirai vs. Jim Osborne, Phil Robley & Prince Iaukea",Best Two Out Of Three Falls Six Man Tag Team Match
NEUTRAL,2,0,fritzvonerich1,03/03/1970,JWA,Giant Baba (c) vs. Fritz von Erich,NWA International Heavyweight Title Best Two Out Of Three Falls Match
NEUTRAL,2,0,giantbaba1,03/03/1970,JWA,Giant Baba (c) vs. Fritz von Erich,NWA International Heavyweight Title Best Two Out Of Three Falls Match
GOOD,3,1,kintarooki1,03/03/1970,JWA,"Antonio Inoki, Kintaro Oki & Mitsu Hirai vs. Jim Osborne, Phil Robley & Prince Iaukea",Best Two Out Of Three Falls Six Man Tag Team Match
NEUTRAL,2,0,mitsuhirai1,03/03/1970,JWA,"Antonio Inoki, Kintaro Oki & Mitsu Hirai vs. Jim Osborne, Phil Robley & Prince Iaukea",Best Two Out Of Three Falls Six Man Tag Team Match
GOOD,3,1,redosbourne1,03/03/1970,JWA,"Antonio Inoki, Kintaro Oki & Mitsu Hirai vs. Jim Osborne, Phil Robley & Prince Iaukea",Best Two Out Of Three Falls Six Man Tag Team Match
GOOD,3,1,guymercier1,11/04/1970,FFCP,Guy Mercier vs. Kiyomigawa,Singles Match
BAD,1,-2,kiyomigawa1,11/04/1970,FFCP,Guy Mercier vs. Kiyomigawa,Singles Match
NEUTRAL,2,0,brunoasquini1,02/05/1970,FFCP,Bruno Asquini vs. Marcel Manneveau,Singles Match
GOOD,3,1,guymercier1,02/05/1970,FFCP,Peter Kayser vs. Guy Mercier,Singles Match
GOOD,3,1,marcelmanneveau1,02/05/1970,FFCP,Bruno Asquini vs. Marcel Manneveau,Singles Match
NEUTRAL,2,0,michelsaulnier1,02/05/1970,FFCP,Michel Saulnier vs. Ricardo Torres,Singles Match
NEUTRAL,2,0,peterkaiser1,02/05/1970,FFCP,Peter Kayser vs. Guy Mercier,Singles Match
NEUTRAL,2,0,ricardotorres1,02/05/1970,FFCP,Michel Saulnier vs. Ricardo Torres,Singles Match
NEUTRAL,2,0,bertroyal1,02/06/1970,JP,The Royals (Bert Royal & Vic Faulkner) vs. Honeyboy Zimba & Masambula,Tag Team Match
NEUTRAL,2,0,honeyboyzimba1,02/06/1970,JP,The Royals (Bert Royal & Vic Faulkner) vs. Honeyboy Zimba & Masambula,Tag Team Match
NEUTRAL,2,0,iangilmour1,02/06/1970,JP,Jackie Pallo vs. Ian Gilmour,Singles Match
NEUTRAL,2,0,jackiepallo1,02/06/1970,JP,Jackie Pallo vs. Ian Gilmour,Singles Match
NEUTRAL,2,0,leonarras1,02/06/1970,JP,Ray Steele vs. Leon Arras,Singles Match
NEUTRAL,2,0,masambula1,02/06/1970,JP,The Royals (Bert Royal & Vic Faulkner) vs. Honeyboy Zimba & Masambula,Tag Team Match
NEUTRAL,2,0,raysteele1,02/06/1970,JP,Ray Steele vs. Leon Arras,Singles Match
NEUTRAL,2,0,vicfaulkner1,02/06/1970,JP,The Royals (Bert Royal & Vic Faulkner) vs. Honeyboy Zimba & Masambula,Tag Team Match
NEUTRAL,2,0,blackshadow1,25/07/1970,FFCP,Rene Ben Chemoul & Walter Bordes vs. Black Shadow & Josef el Arz,Best Two Out Of Three Falls Tag Team Match
