Wrestler,Other Names,ID,Cagematch,Link,Name,Total,1970,1971,1972,1973,1974,1980,1981
Terry Funk,"Chainsaw Charlie, Texan",terryfunk1,https://www.cagematch.net/?id=2&nr=501,1,1,31,0,0,1,0,0,15,15
Jim Breaks,,jimbreaks1,https://www.cagematch.net/?id=2&nr=3098,1,1,31,0,0,10,5,1,10,5
Mark Rocco,"Rollerball Rocco, Black Tiger",markrocco1,https://www.cagematch.net/?id=2&nr=1466,1,1,25,0,0,0,0,0,10,15
Andre the Giant,"Andre el Gigante, Andre Roussimoff, Andre The Giant Frenchman, Giant Machine, Jean Ferre, Monster Eiffel Tower, Monster Roussimoff, Polish Giant",andrethegiant1,https://www.cagematch.net/?id=2&nr=926,1,1,21,0,0,1,0,0,5,15
Sgt. Slaughter,Super Destroyer Mark II,sgtslaughter1,https://www.cagematch.net/?id=2&nr=587,1,1,16,0,0,0,0,0,1,15
Nick Bockwinkel,"Nick Bock, Dick Warren, Sensational White Phantom, Phantom, Roy Diamond",nickbockwinkel1,https://www.cagematch.net/?id=2&nr=1263,1,1,15,0,0,0,0,0,10,5
Bill Dundee,Sir William,billdundee1,https://www.cagematch.net/?id=2&nr=857,1,1,15,0,0,0,0,0,5,10
Larry Zbyszko,,larryzbyszko1,https://www.cagematch.net/?id=2&nr=373,1,1,15,0,0,0,0,0,15,0
Rick Martel,Pat Kelly,rickmartel1,https://www.cagematch.net/?id=2&nr=1010,1,1,15,0,0,0,0,0,5,10
Steve Grey,,stevegrey1,https://www.cagematch.net/?id=2&nr=2289,1,1,15,0,0,0,0,0,5,10
Jon Cortez,Jimmy James,joncortez1,https://www.cagematch.net/?id=2&nr=24023,1,1,12,0,1,0,1,0,5,5
Billy Robinson,,billyrobinson1,https://www.cagematch.net/?id=2&nr=4336,1,1,12,0,0,0,1,1,5,5
Stan Hansen,,stanhansen1,https://www.cagematch.net/?id=2&nr=440,1,1,11,0,0,0,0,0,1,10
Greg Valentine,"Baby Face Nelson, Blue Knight, Johnny Fargo, Johnny Valentine, Johnny Valentine Fargo, Johnny Valentine Jr., Hiroshima Joe",gregvalentine1,https://www.cagematch.net/?id=2&nr=104,1,1,11,0,0,0,0,0,1,10
Jerry Lawler,"Hawaiian Flash, Masked Superstar #2",jerrylawler1,https://www.cagematch.net/?id=2&nr=937,1,1,11,0,0,0,0,1,0,10
Le Petit Prince,,lepetitprince1,https://www.wrestlingdata.com/index.php?befehl=bios&wrestler=11085,1,1,11,0,5,0,1,5,0,0
Jack Brisco,,jackbrisco1,https://www.cagematch.net/?id=2&nr=843,1,1,11,0,5,1,0,5,0,0
Buddy Rose,,buddyrose1,https://www.cagematch.net/?id=2&nr=1240,1,1,10,0,0,0,0,0,5,5
Bruno Sammartino,,brunosammartino1,https://www.cagematch.net/?id=2&nr=243,1,1,10,0,0,0,0,0,10,0
Jackie Sato,,jackiesato1,https://www.cagematch.net/?id=2&nr=3202,1,1,10,0,0,0,0,0,5,5
Adrian Adonis,Keith Franks,adrianadonis1,https://www.cagematch.net/?id=2&nr=1495,1,1,10,0,0,0,0,0,0,10
Tully Blanchard,,tullyblanchard1,https://www.cagematch.net/?id=2&nr=378,1,1,10,0,0,0,0,0,0,10
